user_id,ndcg@3,hit@3,ndcg@5,hit@5
1671.0,0.46927872602275644,1,0.46927872602275644,1
1687.0,0.0,0,0.18154179253735267,1
1715.0,0.3065735963827292,1,0.3065735963827292,1
1718.0,0.0,0,0.20210734650054757,1
1726.0,0.6131471927654584,1,0.6131471927654584,1
1735.0,0.0,0,0.23719771276929622,1
1737.0,0.6131471927654584,1,0.6131471927654584,1
1750.0,0.6131471927654584,1,0.6131471927654584,1
1752.0,0.0,0,0.18154179253735267,1
1756.0,0.6131471927654584,1,0.6131471927654584,1
1762.0,0.46927872602275644,1,0.3903800499921017,1
1763.0,0.23463936301137822,1,0.19519002499605084,1
1769.0,0.38685280723454163,1,0.38685280723454163,1
1771.0,0.6131471927654584,1,0.6131471927654584,1
1775.0,0.6131471927654584,1,0.6131471927654584,1
1776.0,0.46927872602275644,1,0.3903800499921017,1
1779.0,0.6131471927654584,1,0.6131471927654584,1
2045.0,0.38685280723454163,1,0.38685280723454163,1
2047.0,0.0,0,0.18154179253735267,1
2052.0,0.0,0,0.16812753627111746,1
2054.0,0.6131471927654584,1,0.6131471927654584,1
2067.0,0.38685280723454163,1,0.38685280723454163,1
2079.0,0.6131471927654584,1,0.6131471927654584,1
2087.0,0.2960819109658652,1,0.2960819109658652,1
2088.0,0.38685280723454163,1,0.38685280723454163,1
2091.0,0.0,0,0.0,0
2093.0,0.6131471927654584,1,0.6131471927654584,1
2094.0,0.6131471927654584,1,0.6131471927654584,1
2095.0,0.38685280723454163,1,0.38685280723454163,1
2098.0,0.6131471927654584,1,0.6131471927654584,1
2100.0,0.46927872602275644,1,0.46927872602275644,1
2117.0,0.2960819109658652,1,0.2960819109658652,1
2131.0,0.0,0,0.2640681225725909,1
2145.0,0.46927872602275644,1,0.46927872602275644,1
2146.0,0.2960819109658652,1,0.2960819109658652,1
2153.0,0.6131471927654584,1,0.6131471927654584,1
2163.0,0.6131471927654584,1,0.6131471927654584,1
2166.0,0.38685280723454163,1,0.38685280723454163,1
2167.0,0.6131471927654584,1,0.6131471927654584,1
2168.0,0.6131471927654584,1,0.6131471927654584,1
2169.0,0.0,0,0.0,0
2173.0,0.6131471927654584,1,0.6131471927654584,1
2181.0,0.38685280723454163,1,0.38685280723454163,1
2188.0,0.0,0,0.20210734650054757,1
2193.0,0.6131471927654584,1,0.6131471927654584,1
2196.0,0.0,0,0.2640681225725909,1
2199.0,0.0,0,0.0,0
2202.0,0.2960819109658652,1,0.2960819109658652,1
2213.0,0.6131471927654584,1,0.6131471927654584,1
2215.0,0.0,0,0.23719771276929622,1
2217.0,0.46927872602275644,1,0.46927872602275644,1
2223.0,0.0,0,0.14606834984270645,1
2228.0,0.38685280723454163,1,0.38685280723454163,1
2230.0,0.3065735963827292,1,0.3065735963827292,1
2248.0,0.38685280723454163,1,0.38685280723454163,1
2250.0,0.6131471927654584,1,0.6131471927654584,1
2254.0,0.6131471927654584,1,0.6131471927654584,1
2257.0,0.6131471927654584,1,0.6131471927654584,1
2263.0,0.38685280723454163,1,0.38685280723454163,1
2271.0,0.38685280723454163,1,0.38685280723454163,1
2291.0,0.38685280723454163,1,0.38685280723454163,1
2294.0,0.2960819109658652,1,0.24630238874073,1
2299.0,0.46927872602275644,1,0.46927872602275644,1
2302.0,0.6131471927654584,1,0.6131471927654584,1
