month,package_id,addon_id,count
2025-08,1.0,15,1
2025-08,2.0,4,1
2025-08,2.0,9,1
2025-08,3.0,2,1
2025-08,3.0,4,1
2025-08,3.0,6,1
2025-08,3.0,10,1
2025-08,4.0,6,1
2025-08,4.0,7,1
2025-08,5.0,2,1
2025-08,5.0,11,1
2025-08,6.0,5,1
2025-09,2.0,8,20
2025-09,2.0,7,12
2025-09,3.0,7,8
2025-09,3.0,8,6
2025-09,4.0,7,6
2025-09,2.0,2,5
2025-09,2.0,15,4
2025-09,5.0,7,3
2025-09,1.0,2,2
2025-09,2.0,4,2
2025-09,2.0,5,2
2025-09,1.0,1,1
2025-09,1.0,7,1
2025-09,1.0,8,1
2025-09,1.0,15,1
2025-09,2.0,1,1
2025-09,2.0,11,1
2025-09,3.0,4,1
2025-09,3.0,6,1
2025-09,3.0,10,1
2025-09,3.0,15,1
2025-09,4.0,6,1
2025-09,4.0,8,1
2025-09,4.0,11,1
2025-09,4.0,15,1
2025-09,5.0,1,1
2025-09,5.0,2,1
2025-09,5.0,4,1
2025-09,5.0,5,1
2025-09,5.0,6,1
2025-09,5.0,8,1
2025-09,6.0,2,1
2025-09,6.0,14,1
2025-09,6.0,15,1
2025-10,2.0,7,17
2025-10,2.0,8,16
2025-10,3.0,7,13
2025-10,2.0,2,7
2025-10,2.0,1,4
2025-10,1.0,2,3
2025-10,1.0,7,3
2025-10,1.0,8,3
2025-10,2.0,4,3
2025-10,2.0,15,3
2025-10,3.0,6,3
2025-10,3.0,8,3
2025-10,4.0,8,3
2025-10,5.0,1,3
2025-10,5.0,7,3
2025-10,3.0,2,2
2025-10,3.0,4,2
2025-10,6.0,1,2
2025-10,1.0,5,1
2025-10,1.0,15,1
2025-10,2.0,6,1
2025-10,3.0,1,1
2025-10,3.0,15,1
2025-10,4.0,5,1
2025-10,4.0,7,1
2025-10,4.0,15,1
2025-10,5.0,2,1
2025-10,5.0,8,1
2025-10,5.0,15,1
2025-10,6.0,5,1
2025-10,6.0,6,1
2025-11,2.0,8,18
2025-11,3.0,7,10
2025-11,2.0,7,7
2025-11,4.0,7,6
2025-11,2.0,15,5
2025-11,3.0,15,5
2025-11,3.0,2,3
2025-11,3.0,8,3
2025-11,2.0,1,2
2025-11,3.0,1,2
2025-11,4.0,2,2
2025-11,5.0,1,2
2025-11,5.0,7,2
2025-11,5.0,8,2
2025-11,5.0,15,2
2025-11,1.0,2,1
2025-11,1.0,7,1
2025-11,1.0,8,1
2025-11,1.0,15,1
2025-11,2.0,2,1
2025-11,2.0,14,1
2025-11,3.0,6,1
2025-11,4.0,1,1
2025-11,4.0,5,1
2025-11,5.0,2,1
2025-11,5.0,10,1
2026-03,2.0,2,1
2026-03,2.0,7,1
2026-03,2.0,8,1
2026-03,2.0,11,1
2026-03,5.0,6,1
2026-03,17.0,34,1
