booking_id,user_id,item_id,session_date,rating
328.0,172,addon::8,2024-05-23 00:00:00+00:00,1
,1625,4,,0
1605.0,1512,3,2025-06-30 00:00:00+00:00,1
1674.0,1585,addon::15,2025-08-01 00:00:00+00:00,1
,1778,18,,0
628.0,520,2,2024-08-11 00:00:00+00:00,1
236.0,19,addon::8,2024-05-02 00:00:00+00:00,1
1919.0,1784,3,2025-11-09 00:00:00+00:00,1
,1097,5,,0
,362,19,,0
,1193,4,,0
1633.0,1542,3,2025-07-12 00:00:00+00:00,1
137.0,2135,addon::6,2024-04-10 00:00:00+00:00,1
400.0,235,1,2024-06-05 00:00:00+00:00,1
,309,7,,0
429.0,303,addon::7,2024-06-13 00:00:00+00:00,1
,1370,21,,0
,541,18,,0
,1230,6,,0
,349,4,,0
1116.0,547,17,2025-01-03 00:00:00+00:00,1
,831,17,,0
1361.0,1252,addon::8,2025-04-12 00:00:00+00:00,1
,819,4,,0
1311.0,2381,addon::1,2025-03-27 00:00:00+00:00,1
130.0,2133,addon::8,2024-04-08 00:00:00+00:00,1
,1744,5,,0
,602,18,,0
1538.0,1448,addon::14,2025-06-07 00:00:00+00:00,1
1269.0,2377,addon::6,2025-03-05 00:00:00+00:00,1
,1132,17,,0
137.0,2135,4,2024-04-10 00:00:00+00:00,1
,1244,21,,0
1403.0,1080,addon::6,2025-04-25 00:00:00+00:00,1
,2300,6,,0
,1318,7,,0
